name,price,url,image,description,dimensions,material,color,category,brand
Martha Sofa,"£1,249",https://www.dunelm.com/product/martha-chunky-chenille-corner-chaise-sofa-1000239805?defaultSkuId=30892980,https://images.dunelm.com/30892980.jpg?$v8srpgrid$&img404=noimagedefault,Chunky chenille corner chaise sofa,N/A,chenille fabric,N/A,sofa,Dunelm
Bowden Table,£119.20,https://www.dunelm.com/product/elements-bowden-glass-side-table-1000264733?defaultSkuId=30967885,https://images.dunelm.com/30967885.jpg?$v8srpgrid$&img404=noimagedefault,Glass side table with 20% off,N/A,glass,2 Colours,table,Dunelm
Olney,£199,https://www.dunelm.com/product/olney-hallway-shoe-storage-unit-stone-1000255857?defaultSkuId=30924850,https://images.dunelm.com/30924850.jpg?$v8srpgrid$&img404=noimagedefault,Hallway shoe storage unit in stone color,N/A,N/A,Stone,shoe storage unit,Dunelm
Parker Chest,£239,https://www.dunelm.com/product/parker-4-drawer-chest-1000170471?defaultSkuId=30708790,https://images.dunelm.com/30708790.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,2 Colours,chest,Dunelm
Kaspar Fleck,£125.30,https://www.dunelm.com/product/kaspar-fleck-chenille-tub-chair-1000266547?defaultSkuId=30969139,https://images.dunelm.com/30969139.jpg?$v8srpgrid$&img404=noimagedefault,30% Off - Clearance Kaspar Fleck Chenille Tub Chair,N/A,chenille fabric,N/A,chair,Dunelm
Mission Bed,£299,https://www.dunelm.com/product/mission-white-storage-bed-1000113517?defaultSkuId=30580709,https://images.dunelm.com/30580709.jpg?$v8srpgrid$&img404=noimagedefault,Storage bed frame with quick delivery,N/A,N/A,3 Colours,bed,Dunelm
Hector Sofa,£999,https://www.dunelm.com/product/hector-cosy-weave-3-seater-sofa-1000255185?defaultSkuId=30934940,https://images.dunelm.com/30934940.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,sofa,Dunelm
Rylee Armchair,£169,https://www.dunelm.com/product/rylee-brushed-pinstripe-occasional-armchair-1000265622?defaultSkuId=30968782,https://images.dunelm.com/30968782.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,N/A,N/A,chair,Dunelm
Verona Ottoman,£109,https://www.dunelm.com/product/verona-fabric-ottoman-1000160627?defaultSkuId=30676763,https://images.dunelm.com/30676763.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,fabric,N/A,ottoman,Dunelm
Moda Boucle,£429,https://www.dunelm.com/product/moda-boucle-modular-armless-chair-1000216666?defaultSkuId=30845779,https://images.dunelm.com/30845779.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,N/A,N/A,chair,Dunelm
Memory Foam Mattress,£99 - £179,https://www.dunelm.com/product/dunelm-rolled-memory-foam-open-coil-mattress-1000222895?defaultSkuId=30857775,https://images.dunelm.com/30857775.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,"memory foam, open coil",N/A,mattress,Dunelm
Bella Velvet,£159,https://www.dunelm.com/product/bella-velvet-cocktail-chair-1000240723?defaultSkuId=30852041,https://images.dunelm.com/30852041.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,chair,Dunelm
Alora,£359.20 - £449,https://www.dunelm.com/product/alora-4-seater-round-dining-table-1000268788?defaultSkuId=30974121,https://images.dunelm.com/30974121.jpg?$v8srpgrid$&img404=noimagedefault,4 Seater Round Dining Table,N/A,N/A,N/A,table,Dunelm
Georgi Chest,£199,https://www.dunelm.com/product/georgi-walnut-marble-effect-3-drawer-chest-1000274520?defaultSkuId=30993561,https://images.dunelm.com/30993561.jpg?$v8srpgrid$&img404=noimagedefault,3 drawer chest with walnut and marble effect finish,N/A,N/A,walnut & marble effect,chest,Dunelm
Khari Sideboard,£549,https://www.dunelm.com/product/khari-4-door-large-sideboard-mango-wood-1000214653?defaultSkuId=30975895,https://images.dunelm.com/30975895.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,mango wood,N/A,sideboard,Dunelm
Taylor Chair,£69,https://www.dunelm.com/product/taylor-dining-chair-ivory-boucle-1000224549?defaultSkuId=30960790,https://images.dunelm.com/30960790.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,N/A,Ivory Boucle,chair,Dunelm
Provence Chairs,£269,https://www.dunelm.com/product/provence-set-of-2-dining-chairs-1000206889?defaultSkuId=30797277,https://images.dunelm.com/30797277.jpg?$v8srpgrid$&img404=noimagedefault,"Set of 2 dining chairs, grey",N/A,N/A,Grey,chair,Dunelm
Carson Snuggle Chair,£749,https://www.dunelm.com/product/carson-tonal-boucle-snuggle-chair-1000250541?defaultSkuId=30934884,https://images.dunelm.com/30934884.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,chair,Dunelm
Lynton TV Unit,£229,https://www.dunelm.com/product/lynton-extra-wide-tv-unit-for-tvs-up-to-75-1000257022?defaultSkuId=30935225,https://images.dunelm.com/30935225.jpg?$v8srpgrid$&img404=noimagedefault,Extra wide TV unit for TVs up to 75 inches,N/A,N/A,N/A,tv unit,Dunelm
Ren Bookcase,£279.20 - £349,https://www.dunelm.com/product/ren-extendable-bookcase-1000243426?defaultSkuId=30972190,https://images.dunelm.com/30972190.jpg?$v8srpgrid$&img404=noimagedefault,20% Off Selected,N/A,N/A,N/A,bookcase,Dunelm
Fogarty Mattress,£135.20,https://www.dunelm.com/product/fogarty-kids-600-pocket-spring-cool-top-mattress-1000230768?defaultSkuId=30873397,https://images.dunelm.com/30873397.jpg?$v8srpgrid$&img404=noimagedefault,Kids 600 Pocket Spring Cool Top Mattress with 20% off,N/A,pocket spring,N/A,mattress,Dunelm
Salcombe Larder Unit,£999,https://www.dunelm.com/product/salcombe-larder-unit-1000246491?defaultSkuId=30918924,https://images.dunelm.com/30918924.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,larder unit,Dunelm
Kaspar Chair,£125.30,https://www.dunelm.com/product/kaspar-woven-geometric-print-tub-chair-1000266549?defaultSkuId=30969147,https://images.dunelm.com/30969147.jpg?$v8srpgrid$&img404=noimagedefault,30% Off - Clearance,N/A,N/A,N/A,chair,Dunelm
Ottoman Bed Frame,£689 - £789,https://www.dunelm.com/product/linen-side-ottoman-base-1000241839?defaultSkuId=30911825,https://images.dunelm.com/30911825.jpg?$v8srpgrid$&img404=noimagedefault,"Luxury Side Ottoman Bed Frame, Linen",N/A,fabric,linen,bed,Dunelm
Beatrice Chair,£343.20,https://www.dunelm.com/product/beatrice-buttoned-velvet-snuggle-chair-1000235675?defaultSkuId=30887232,https://images.dunelm.com/30887232.jpg?$v8srpgrid$&img404=noimagedefault,Buttoned velvet snuggle chair with 20% off,N/A,velvet fabric,N/A,chair,Dunelm
Estelle Ottoman,£189,https://www.dunelm.com/product/estelle-luxury-chenille-storage-ottoman-1000263990?defaultSkuId=30970359,https://images.dunelm.com/30970359.jpg?$v8srpgrid$&img404=noimagedefault,Luxury chenille storage ottoman with quick delivery,N/A,chenille fabric,N/A,ottoman,Dunelm
Clover Footstool,£48.30,https://www.dunelm.com/product/clover-velvet-storage-footstool-1000269474?defaultSkuId=30974144,https://images.dunelm.com/30974144.jpg?$v8srpgrid$&img404=noimagedefault,30% Off - Clearance,N/A,N/A,velvet,footstool,Dunelm
Beatrice Sofa,£639.20,https://www.dunelm.com/product/beatrice-woven-stripe-sofa-bed-1000242027?defaultSkuId=30910963,https://images.dunelm.com/30910963.jpg?$v8srpgrid$&img404=noimagedefault,20% Off Beatrice Woven Stripe Sofa Bed,N/A,N/A,woven stripe,sofa bed,Dunelm
Bella Chair,£90.30,https://www.dunelm.com/product/bella-white-boucle-office-chair-1000268875?defaultSkuId=30971297,https://images.dunelm.com/30971297.jpg?$v8srpgrid$&img404=noimagedefault,30% Off - Clearance,N/A,boucle fabric,white,office chair,Dunelm
Cosette Lounger,£669,https://www.dunelm.com/product/cosette-lounger-accent-chair-1000255258?defaultSkuId=30968647,https://images.dunelm.com/30968647.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,N/A,N/A,chair,Dunelm
Coleby Changer,£85 - £89,https://www.dunelm.com/product/ickle-bubba-coleby-open-changer-1000212190?defaultSkuId=30821438,https://images.dunelm.com/30821438.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,changer,Dunelm
Ultragel Mattress,£439 - £839,https://www.dunelm.com/product/silentnight-ultragel-1000-pocket-mattress-1000271656?defaultSkuId=31008957,https://images.dunelm.com/31008957.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,mattress,Dunelm
Remi Sideboard,£349,https://www.dunelm.com/product/remi-large-sideboard-1000253220?defaultSkuId=30925265,https://images.dunelm.com/30925265.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,sideboard,Dunelm
Gatsby Ottoman,£549 - £599,https://www.dunelm.com/product/gatsby-ottoman-bed-frame-1000273708?defaultSkuId=31016847,https://images.dunelm.com/31016847.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,bed,Dunelm
San Francisco Desk,£379,https://www.dunelm.com/product/san-francisco-height-adjustable-standing-desk-1000242685?defaultSkuId=30915095,https://images.dunelm.com/30915095.jpg?$v8srpgrid$&img404=noimagedefault,Height adjustable standing desk,N/A,N/A,N/A,desk,Dunelm
