name,price,url,image,description,dimensions,material,color,category,brand
Legato Chest,£249,https://www.dunelm.com/product/legato-tall-5-drawer-chest-1000097707?defaultSkuId=30359154,https://images.dunelm.com/30359154.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,chest,Dunelm
Beatrice II,£299,https://www.dunelm.com/product/beatrice-ii-blended-chenille-armchair-1000266115?defaultSkuId=30970520,https://images.dunelm.com/30970520.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,chenille,N/A,armchair,Dunelm
Olney Desk,£179,https://www.dunelm.com/product/olney-standard-storage-desk-stone-1000235771?defaultSkuId=30876346,https://images.dunelm.com/30876346.jpg?$v8srpgrid$&img404=noimagedefault,Conscious Choice,N/A,N/A,Stone,desk,Dunelm
TV Table,£12,https://www.dunelm.com/product/rubberwood-tv-table-1000004916?defaultSkuId=30055361,https://images.dunelm.com/30055361.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,rubberwood,natural,table,Dunelm
Fulton,£199,https://www.dunelm.com/product/fulton-wide-tv-stand-1000117134?defaultSkuId=30569993,https://images.dunelm.com/30569993.jpg?$v8srpgrid$&img404=noimagedefault,"Wide TV Unit for TVs up to 67""",N/A,N/A,N/A,TV unit,Dunelm
Luca Sofa,"£1,149",https://www.dunelm.com/product/luca-tonal-boucle-4-seater-sofa-1000267454?defaultSkuId=30984244,https://images.dunelm.com/30984244.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,sofa,Dunelm
Elsie Bedside,£95.20,https://www.dunelm.com/product/elsie-2-drawer-bedside-table-1000269462?defaultSkuId=30971823,https://images.dunelm.com/30971823.jpg?$v8srpgrid$&img404=noimagedefault,20% Off,N/A,N/A,N/A,table,Dunelm
Panama Round,£299,https://www.dunelm.com/product/panama-round-4-seater-small-dining-table-1000270351?defaultSkuId=30989226,https://images.dunelm.com/30989226.jpg?$v8srpgrid$&img404=noimagedefault,Quick Delivery,N/A,N/A,N/A,table,Dunelm
Olney Nest,£89,https://www.dunelm.com/product/olney-nest-of-tables-with-storage-1000214637?defaultSkuId=30884412,https://images.dunelm.com/30884412.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,table,Dunelm
Walker Wardrobe,£239,https://www.dunelm.com/product/walker-triple-wardrobe-1000246184?defaultSkuId=30921335,https://images.dunelm.com/30921335.jpg?$v8srpgrid$&img404=noimagedefault,N/A,N/A,N/A,N/A,wardrobe,Dunelm
