Cost,Product Name,Category,Sub-Category,Dimensions (W x D x H),Material,Colour/Finish,Product URL,Image URL,Notes
£995,"Theodore Armchair, Boucle, Natural",Armchair,Armchair,"H85 x W64 x D75cm / H33 x W25 x D30""",Textured Wool Boucle,Natural,https://www.sohohome.com/products/theodore-armchair-boucle-natural/74543055,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/183819-74543055-listingjpg.jpg,
£550,Hayward Dining Chair With Arms,Dining room,Dining chair,"H81 x W57 x D58cm / H32 x W20 x D23""",velvet,light green,https://www.sohohome.com/products/hayward-dining-armchair/74536460,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=389%3b0%3b389%3b0/images/original/183742-74536460-listingjpg.jpg,
"£1,995","Gabriel Armchair, Leather",Armchair,Armchair,H77 x W90 x D81cm / H30.3 x W35.4 x D31.9,Leather,deep brown,https://www.sohohome.com/products/gabriel-armchair-leather/79963883,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/122947-79963883-listingjpg.jpg,
"£1,495",Jaya Table Lamp,Lighting,Table Lamp,"H42 x W37 x D37cm / H17 x W15 x D15""",Marble,Bulgari marble,https://www.sohohome.com/products/jaya-table-lamp/72730443,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=389%3b0%3b389%3b0/images/original/279373-72730443-listingjpg.jpg,
£295,Janie Portable Lamp,Lighting,Table Lamp,"H25 x W23 x D23cm / H9.8 x W9 x D9.1""",glass,Cream,https://www.sohohome.com/products/janie-portable-lamp-cream/78175568,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1100%2cheight=1222%2ctrim=389%3b0%3b389%3b0/images/original/278427-78175568-listingjpg.jpg,
£395,Greyson Table Lamp,Lighting,Table Lamp,"H62.3 x W44 x D44cm / H24.5 x W17.3 x D17.3""",High Gloss Lacquer,Cream,https://www.sohohome.com/products/greyson-table-lamp-high-gloss-lacquer-cream/79945803,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/185982-79945803-hoverjpg.jpg,
£395,Greyson Table Lamp,Lighting,Table Lamp,"H62.3 x W44 x D44cm / H24.5 x W17.3 x D17.3""",High Gloss Lacquer,Olive,https://www.sohohome.com/products/greyson-table-lamp-high-gloss-lacquer-olive/79945346,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b389%3b0/images/original/185950-79945346-hoverjpg.jpg,
£350,Giovanni Table Lamp,Lighting,Table Lamp,"H31.7 x W30 x D30cm / H12.5 x W11.8 x D11.8""",glass,Green,https://www.sohohome.com/products/giovanni-table-lamp-green/79945384,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=389%3b0%3b389%3b0/images/original/260906-79945384-listingjpg.jpg,
£350,Sadie Ceramic Table Lamp,Lighting,Table Lamp,"H64.5 x W40 x D40cm / H25.4 x W15.7 x D15.7""",ceramic,tonal reactive glaze and white stripes,https://www.sohohome.com/products/sadie-ceramic-table-lamp/74594163,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1400%2cheight=1556%2ctrim=388%3b0%3b388%3b0/images/original/37052-74594163-hover.jpg,
£595,Ayesha Table Lamp,Lighting,Table Lamp,"H23 x W20 x D20cm / H9.1 x W7.9 x D7.9""",onyx stone,natural,https://www.sohohome.com/products/ayesha-table-lamp/79913734,https://assets.sohohome.com/cdn-cgi/image/fit=crop%2cformat=auto%2cquality=75%2cwidth=1100%2cheight=1222%2ctrim=388%3b0%3b388%3b0/images/original/64010-79913734-hoverjpg.jpg,
